,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1474,41:13.3,4.079,122.37100000000001,574.0,6.8,Mw,326.0,,,1.06,NEI,2009100740.0
1475,48:21.9,3.272,-103.823,10.0,6.0,Mw,305.0,,,0.96,NEI,2009101540.0
1476,04:46.2,-59.955,-65.163,10.0,6.0,Mw,192.0,,,1.11,NEI,2009102740.0
1477,44:55.1,-17.239,178.331,595.0,7.3,Mw,430.0,,,0.87,NEI,2009110940.0
1478,30:52.7,53.417,152.756,656.2,6.3,Mw,415.0,,,0.78,NEI,2009121040.0
1479,19:15.5,-10.107999999999999,33.818000000000005,6.0,6.0,Mw,301.0,,,1.05,NEI,2009121940.0
1480,23:31.7,42.245,134.719,392.0,6.3,Mw,487.0,,,0.88,NEI,2009122440.0
1481,23:24.0,-59.401,-150.975,10.0,6.0,Mw,44.0,,,1.3,NEI,2009123140.0
1482,53:10.1,18.442999999999998,-72.571,13.0,7.0,Mw,500.0,,,0.97,NEI,2010011240.0
1483,31:27.0,25.93,128.425,25.0,7.0,Mw,487.0,,,1.05,NEI,2010022640.0
1484,01:23.0,-37.773,-75.048,35.0,7.4,Mw,409.0,,,1.06,NEI,2010022740.0
1485,45:37.0,-24.872,-65.602,10.0,6.3,Mw,376.0,,,0.0,SJA,2010022742.0
1486,05:24.6,-16.236,-115.296,18.0,6.3,Mw,448.0,,,0.9,NEI,2010030740.0
1487,47:08.9,19.348,144.743,427.0,6.1,Mw,478.0,,,0.87,NEI,2010030840.0
1488,00:50.0,-3.361,152.245,414.6,6.6,Mw,519.0,,,0.91,NEI,2010032040.0
1489,51:50.4,-35.2973,-72.9309,17.87,6.2,Mw,,59.0,1.0,1.1,us,2013103020.0
1490,08:12.8,36.965,-3.542,609.8,6.3,Mw,588.0,,,0.0,MDD,2010041140.0
1491,25:15.6,33.195,96.449,7.6,6.1,Mw,251.0,,,0.87,NEI,2010041440.0
